DATE,THREEFY10
2016-03-18,2.0030
2016-03-21,2.0296
2016-03-22,2.0586
2016-03-23,2.0172
2016-03-24,2.0265
2016-03-25,.
2016-03-28,2.0132
2016-03-29,1.9426
2016-03-30,1.9310
2016-03-31,1.8917
2016-04-01,1.8987
2016-04-04,1.8818
2016-04-05,1.8408
2016-04-06,1.8535
2016-04-07,1.8069
2016-04-08,1.8081
2016-04-11,1.8143
2016-04-12,1.8592
2016-04-13,1.8612
2016-04-14,1.8836
2016-04-15,1.8596
2016-04-18,1.8684
2016-04-19,1.8881
2016-04-20,1.9380
2016-04-21,1.9659
2016-04-22,1.9900
2016-04-25,2.0088
2016-04-26,2.0372
2016-04-27,1.9929
2016-04-28,1.9479
2016-04-29,1.9340
2016-05-02,1.9672
2016-05-03,1.9231
2016-05-04,1.8984
2016-05-05,1.8658
2016-05-06,1.8802
2016-05-09,1.8622
2016-05-10,1.8597
2016-05-11,1.8489
2016-05-12,1.8685
2016-05-13,1.8440
2016-05-16,1.8703
2016-05-17,1.8841
2016-05-18,1.9730
2016-05-19,1.9738
2016-05-20,1.9684
2016-05-23,1.9613
2016-05-24,1.9791
2016-05-25,1.9875
2016-05-26,1.9569
2016-05-27,1.9720
2016-05-30,.
2016-05-31,1.9619
2016-06-01,1.9675
2016-06-02,1.9382
2016-06-03,1.8404
2016-06-06,1.8358
2016-06-07,1.8230
2016-06-08,1.8119
2016-06-09,1.7934
2016-06-10,1.7550
2016-06-13,1.7259
2016-06-14,1.7210
2016-06-15,1.6928
2016-06-16,1.6776
2016-06-17,1.7020
2016-06-20,1.7434
2016-06-21,1.7803
2016-06-22,1.7773
2016-06-23,1.8217
2016-06-24,1.7007
2016-06-27,1.5984
2016-06-28,1.5694
2016-06-29,1.5898
2016-06-30,1.5812
2016-07-01,1.5687
